float_num,cycle,DATE,juld,lat,lon,MLD_D,MLD_T,SSH,EDDY
4903625,1,23-Sep-2021 09:37:00,26198.4007,26.565,-86.881,16.84,36.36,22.5271,2
4903625,2,03-Oct-2021 17:19:10,26208.7216,25.661,-86.604,66.14,67.94,61.4042,3
4903625,3,14-Oct-2021 01:13:24,26219.051,25.559,-86.344,41.58,79.97,64.2536,3
4903625,4,24-Oct-2021 08:38:53,26229.3603,25.474,-85.082,55.99,56.98,40.18,3
4903625,5,03-Nov-2021 16:31:55,26239.6888,24.662,-84.794,80.09,84.09,45.3655,3
4903625,6,08-Nov-2021 18:17:49,26244.7624,24.308,-84.796,86.65,86.65,47.8704,3
4903625,7,13-Nov-2021 20:09:06,26249.8397,24.256,-84.575,26.58,53.94,40.8659,3
4903625,8,18-Nov-2021 21:42:18,26254.9044,24.25,-84.545,28.18,90.38,48.594,3
4903625,9,23-Nov-2021 23:30:36,26259.9796,24.226,-84.295,48.05,84.05,48.022,3
4903625,10,29-Nov-2021 01:11:31,26265.0497,24.383,-84.28,45.91,49.91,35.8662,3
4903625,11,04-Dec-2021 02:32:32,26270.1059,24.477,-84.557,81.85,86.05,48.3853,3
4903625,12,14-Dec-2021 09:48:23,26280.4086,24.398,-84.395,66.02,71.62,48.3394,3
4903625,13,24-Dec-2021 17:16:21,26290.7197,24.371,-84.453,25.94,30.04,24.8962,2
4903625,14,04-Jan-2022 00:34:17,26301.0238,24.418,-84.521,24.15,30.05,24.534,2
4903625,15,14-Jan-2022 08:31:07,26311.3549,24.521,-84.577,21.23,19.85,8.64997,2
4903625,16,24-Jan-2022 15:56:14,26321.6641,25.121,-84.816,45.95,73.95,-1.9647,2
4903625,17,03-Feb-2022 23:11:40,26331.9664,24.657,-85.664,20.06,26.06,22.8326,2
4903625,18,14-Feb-2022 06:48:56,26342.284,24.035,-85.673,89.99,133.89,57.6393,3
4903625,19,24-Feb-2022 14:09:53,26352.5902,23.861,-85.158,51.5,81.47,58.3653,3
4903625,20,06-Mar-2022 21:47:37,26362.9081,24.017,-84.884,85.9,107.9,63.3457,3
4903625,21,17-Mar-2022 05:25:42,26373.2262,23.807,-84.762,24.04,58.04,60.6256,3
4903625,22,27-Mar-2022 13:00:24,26383.5419,23.761,-84.814,86.06,101.75,62.2808,3
4903625,23,06-Apr-2022 20:17:27,26393.8455,23.941,-84.803,30.01,44.01,64.0119,3
4903625,24,17-Apr-2022 03:50:32,26404.1601,23.67,-84.439,31.9,41.96,48.9953,3
4903625,25,27-Apr-2022 11:12:19,26414.4669,23.351,-84.361,55.99,99.99,48.383,3
4903625,26,07-May-2022 18:35:36,26424.7747,23.294,-84.129,21.99,40.05,37.4131,3
