float_num,cycle,DATE,juld,lat,lon,MLD_D,MLD_T,SSH,EDDY
4903624,1,26-Sep-2021 08:46:23,26201.3655,27.368,-89.795,70.46,71.82,52.5833,3
4903624,2,06-Oct-2021 16:16:48,26211.6783,27.361,-88.732,59.97,64.07,63.7421,3
4903624,3,16-Oct-2021 23:25:11,26221.9758,26.992,-88.234,14.03,58.13,31.344,3
4903624,4,27-Oct-2021 07:04:46,26232.295,26.411,-87.867,58.14,72.04,57.9346,3
4903624,5,06-Nov-2021 13:47:52,26242.5749,25.715,-89.017,96.18,98.18,56.2193,3
4903624,6,16-Nov-2021 21:41:15,26252.9036,26.32,-89.786,118.18,120.08,62.5782,3
4903624,7,27-Nov-2021 04:06:33,26263.1712,26.594,-90.023,141.05,143.99,66.0688,3
4903624,8,07-Dec-2021 11:53:32,26273.4955,26.473,-90.411,71.52,136.1,60.167,3
4903624,9,17-Dec-2021 19:11:59,26283.8,26.764,-90.188,138.3,144.7,61.7179,3
4903624,10,28-Dec-2021 02:02:34,26294.0851,26.297,-89.057,126.03,128.23,43.5674,3
4903624,11,07-Jan-2022 09:35:06,26304.3994,25.868,-89.979,103.88,115.78,33.599,3
4903624,12,17-Jan-2022 16:33:22,26314.6898,26.086,-90.896,154.23,160.63,45.8479,3
4903624,13,27-Jan-2022 23:46:19,26324.9905,25.595,-90.49,147.8,147.8,38.3672,3
4903624,14,07-Feb-2022 06:21:44,26335.2651,25.184,-90.041,118.09,118.09,15.558,2
4903624,15,17-Feb-2022 13:48:44,26345.5755,25.317,-90.577,76,104,36.5578,3
4903624,16,27-Feb-2022 20:57:27,26355.8732,24.76,-91.41,18.12,20.32,14.5522,2
4903624,17,10-Mar-2022 04:33:26,26366.1899,24.671,-92.063,27.02,34.07,1.05601,2
4903624,18,20-Mar-2022 11:47:01,26376.491,24.945,-92.647,56.18,62,1.54423,2
4903624,19,30-Mar-2022 19:01:58,26386.793,25.382,-92.825,46,50.2,0.162356,2
4903624,20,10-Apr-2022 02:51:23,26397.119,25.023,-91.641,54.21,56.11,8.30203,2
4903624,21,20-Apr-2022 10:11:09,26407.4244,24.578,-90.886,34.05,34.05,25.0063,2
4903624,22,30-Apr-2022 17:42:45,26417.738,24.841,-90.61,41.78,41.78,20.6885,2
4903624,23,11-May-2022 01:07:02,26428.0466,24.757,-90.619,15.96,15.96,15.0131,2
4903624,24,21-May-2022 08:45:49,26438.3652,25.167,-91.011,23.95,25.95,16.0401,2
4903624,25,31-May-2022 16:44:21,26448.6975,25.257,-91.386,31.6,31.6,16.8429,2
4903624,26,11-Jun-2022 00:42:18,26459.0294,25.063,-91.479,30.14,33.84,16.4806,2
4903624,27,21-Jun-2022 08:30:52,26469.3548,25.228,-91.56,24.05,34.05,10.4881,2
4903624,28,01-Jul-2022 16:49:23,26479.701,25.252,-91.156,11.91,11.91,9.82686,2
4903624,29,12-Jul-2022 00:30:26,26490.0211,25.462,-90.935,12.01,16.11,26.6479,2
4903624,30,22-Jul-2022 08:22:18,26500.3488,25.344,-91.681,16.22,17.08,4.81192,2
4903624,31,01-Aug-2022 16:33:23,26510.6898,25.404,-91.054,26.33,26.33,-0.179384,2
4903624,32,12-Aug-2022 00:57:46,26521.0401,25.956,-89.837,39.98,41.75,60.7391,3
4903624,33,22-Aug-2022 08:30:31,26531.3545,25.528,-90.465,21.74,24.04,52.9559,3
4903624,34,01-Sep-2022 16:22:25,26541.6822,25.138,-90.66,14.18,16.08,32.6989,3
4903624,35,12-Sep-2022 00:26:51,26552.0186,25.951,-90.357,28.34,30.04,61.8182,3
4903624,36,22-Sep-2022 08:10:05,26562.3403,25.33,-89.732,30,30,53.9541,3
4903624,37,02-Oct-2022 15:57:48,26572.6651,25.666,-90.986,61.74,61.89,59.3873,3
4903624,38,03-Oct-2022 05:28:52,26573.2284,25.742,-91.058,56.59,57.49,61.9998,3
4903624,39,03-Oct-2022 19:04:45,26573.795,25.827,-91.096,66.95,67.87,66.4684,3
4903624,40,14-Oct-2022 02:58:56,26584.1243,25.884,-89.743,81.89,84.11,68.7289,3
4903624,41,24-Oct-2022 10:25:13,26594.4342,25.018,-89.744,90.04,91.77,57.9001,3
4903624,42,03-Nov-2022 18:08:02,26604.7556,24.739,-89.568,33.96,51.56,10.9303,2
4903624,43,14-Nov-2022 02:14:11,26615.0932,24.975,-90.086,99.71,99.71,47.4599,3
4903624,44,24-Nov-2022 09:32:29,26625.3976,25.093,-90.222,124.4,128.1,49.5929,3
4903624,45,04-Dec-2022 17:06:06,26635.7126,25.219,-89.696,26.02,28.02,20.0456,2
4903624,46,15-Dec-2022 00:54:39,26646.038,24.988,-89.385,37.11,39.81,14.1632,2
4903624,47,25-Dec-2022 08:44:58,26656.3646,25.346,-88.917,50.01,56.41,31.7667,3
4903624,48,04-Jan-2023 16:09:43,26666.6734,25.43,-88.84,55.92,65.82,2.98207,2
4903624,49,14-Jan-2023 23:42:17,26676.9877,25.373,-88.779,37.98,44.08,26.3542,2
4903624,50,25-Jan-2023 07:02:09,26687.2932,25.37,-88.17,91.59,94.03,52.2063,3
4903624,51,04-Feb-2023 14:26:57,26697.602,25.098,-88.184,102.01,141.82,47.6443,3
4903624,52,14-Feb-2023 21:52:36,26707.9115,25.248,-88.148,117.98,131.48,38.7333,3
4903624,53,25-Feb-2023 05:18:15,26718.221,25.241,-88.659,24.13,26.13,43.6472,3
